"Country","Year","Monday Beta","Monday P-value","Friday Beta","Friday P-value","January Beta","January P-value","April Beta","April P-value","December Beta","December P-value","Halloween Beta","Halloween P-value","CES A","CES B","CES C"
"Netherlands",2009,-0.0399610360626734,0.886898013606909,0.209758346360738,0.462354669822531,-0.00372112935144461,0.992581098658328,0.448329136567039,0.273716447454627,0.31019339641748,0.428937195565793,-0.105243951477169,0.628550993819095,0,0,0
"Netherlands",2010,0.398360014688874,0.0438636434198987,-0.233480960398333,0.239769712750243,-0.110405680840862,0.703448434131115,0.0173679269155897,0.952241989063262,0.340298167104257,0.212132117956809,0.0974984263421373,0.527186103752901,1,0.398360014688874,0.066393335781479
"Netherlands",2011,-0.436827883485447,0.0553193384559846,0.0555266187430427,0.805449880912261,0.180538285857114,0.576931679520585,0.0596574310608273,0.86012972615372,0.299725519535038,0.354619410773088,0.15870729862901,0.365434669811855,0,0,0
"Netherlands",2012,-0.0248364676915877,0.867838018746686,-0.0371232908568169,0.804970827912414,0.0556766356681018,0.789991959080574,-0.211933485249499,0.343195026083931,0.0521911150911711,0.815279746311524,-0.00423053941431285,0.970917920670508,0,0,0
"Netherlands",2013,0.00605585637739465,0.958636712059508,-0.00702195415071827,0.952045427128296,0.0755793812783868,0.642474528265082,-0.0364740260133698,0.826308605348905,0.0314079014726116,0.853352846613917,-0.0361696159972143,0.688706247022462,0,0,0
"Netherlands",2014,-0.147962398605131,0.26433039604088,-0.0914540372181258,0.493139357469353,-0.182836614657506,0.323392646186486,-0.0430733007496593,0.823485396740591,-0.0460179217716778,0.807523066649135,0.0254583855375707,0.804319861921154,0,0,0
"Netherlands",2015,-0.223236190426197,0.275833405495291,-0.267745809881131,0.198180031647225,0.219343102249375,0.453457372442896,-0.041414523875793,0.889819550284643,-0.276338599641646,0.335004065300437,0.117569138360279,0.459382840876639,0,0,0
"Netherlands",2016,-0.0349083236899503,0.851564905182016,0.0163384925659758,0.929685482998624,-0.172576630233167,0.521913509900984,0.0241461816571097,0.926985501647503,0.234523746290949,0.373808721697037,0.0380768301703407,0.789970305055487,0,0,0
"New Zealand",2001,-0.379574918681392,0.0284890327623652,0.0597026365774865,0.725281011901412,0.438493380400729,0.0770350810358139,0.335473316247944,0.196595701213076,-0.0425138596202996,0.866573157855949,0.249183638189735,0.0618764052339299,1,0.379574918681392,0.0632624864468987
"New Zealand",2002,0.193780623040777,0.0786889184043363,0.0544675314231265,0.614853597462658,0.207650257057614,0.17915448516307,-0.0567647194710637,0.718963729237323,0.0402022125396429,0.798825533621827,-0.0273326668774262,0.747094341423486,0,0,0
"New Zealand",2003,0.287990622476573,0.00368911649530681,0.095738820933448,0.330748394443164,-0.0675993757338384,0.628880298900113,0.143436478305872,0.327390920866469,0.132954031968115,0.342156118236312,-0.0286125677200698,0.709564346053559,1,0.287990622476573,0.0479984370794288
"New Zealand",2004,-0.0591787166817148,0.409804551404088,-0.0569997061119892,0.420058078781759,-0.0487192392298286,0.634366543205465,-0.0187425211425629,0.854800249104978,0.0241074272387403,0.809850681543485,0.073602557062776,0.177087195875306,0,0,0
"New Zealand",2005,0.172137816278928,0.0815882696556095,-0.0535184232094079,0.572295974841664,-0.0301313741244773,0.832136116123701,-0.142956610558844,0.30381930257059,0.0296206452535583,0.831110034122503,-0.0799162468759099,0.28297093217298,0,0,0
"New Zealand",2006,-0.0984642125073282,0.330332609116089,-0.0260450333363446,0.78868691405428,-0.0902407363208514,0.522150524605524,0.0847460600221977,0.576752939842245,0.194237442612616,0.17895336454728,0.158679167836556,0.0361508446759018,1,0.158679167836556,0.0264465279727593
"New Zealand",2007,0.0826118200381021,0.441547728329958,-0.120207023352908,0.255973664282841,0.135432175563336,0.36873067180987,0.139390690739926,0.388344562868883,-0.00565814588447493,0.971348372298133,-0.00835814588786257,0.91946991084162,0,0,0
"New Zealand",2008,0.100119485843685,0.641278374322447,-0.217314924144038,0.312269865735469,-0.274802451080939,0.361573447401946,0.390626620206544,0.195041196167031,0.191717007881748,0.524259181323921,0.0725842113367935,0.660517150548186,0,0,0
"New Zealand",2009,-0.140438531823346,0.324341127231274,0.061518801408974,0.665690155445079,0.0735112860210966,0.717237493501206,0.24887618591117,0.220803301056506,0.123856730850415,0.532883891191571,-0.112836506318039,0.299107459969664,0,0,0
"New Zealand",2010,0.185913576562247,0.0510672372830766,-0.0429900763428188,0.640484809657067,-0.121035220829649,0.382120263819723,0.0144397790549725,0.914941367074823,0.0512809100444829,0.698225036862202,0.010299571849603,0.886602794659415,1,0.185913576562247,0.0309855960937079
"New Zealand",2011,-0.126295316101396,0.22765925901135,-0.00769128132568533,0.939504842237715,0.0695096592531139,0.645869950794545,0.142687595317718,0.345875742204119,0.0293532617868822,0.84253245603341,0.07812899513091,0.323021751225131,0,0,0
"New Zealand",2012,-0.0447565894400975,0.607020166562682,-0.112038772323247,0.188371925542777,-0.0682599879591551,0.573796916447134,-0.0265569853746229,0.838287804656461,-0.0781049006460538,0.538550466471208,0.00732258500896367,0.912170472211013,0,0,0
"New Zealand",2013,0.0485158616662441,0.590128475124017,-0.0427164678342574,0.630173484157373,0.172489625838092,0.169528767369511,0.171430909522472,0.181654782105799,-0.10141866073613,0.4288779851546,0.0265186067589825,0.700893243039221,0,0,0
"New Zealand",2014,-0.0837886632187448,0.268072873169547,-0.0995202406670033,0.188582944876123,0.0894794428209926,0.40035744033063,0.047223246647957,0.671265686709944,0.0777764037426124,0.464706643100047,0.0869936395330643,0.134855097087365,0,0,0
"New Zealand",2015,-0.101423192822528,0.251949121353585,0.0834551643020587,0.341756679389123,0.120003008036685,0.338320894874722,-0.0739553887674929,0.564041798449016,0.136469896748796,0.265808263808715,0.0515233946509884,0.444049151963174,0,0,0
"New Zealand",2016,0.100459123097769,0.365248139776497,-0.0348757933840227,0.741435441437974,-0.182541752088627,0.247612914759774,-0.00254160919861336,0.986836006949809,-0.0641774413735155,0.677009349573221,0.0367562588602513,0.656662712456153,0,0,0
"Nigeria",1998,-0.0315279705508704,0.339146047465831,0.0379820045023407,0.257010074776456,0.0448428428689906,0.364647564313999,-0.116196586885428,0.0193930830038803,0.0367156110435584,0.416232829947612,0.0159953487280676,0.533640469021592,1,0.116196586885428,0.019366097814238
"Nigeria",1999,0.0330545400213489,0.793827177376794,0.0401258476356613,0.756967456344123,-0.154777151071122,0.412237801062405,-0.114985342442541,0.53228816975333,0.133735011892399,0.428735564276081,0.0243017796102691,0.802317408411649,0,0,0
"Nigeria",2000,0.119520797368768,0.321410195880747,0.0545922071748819,0.64780361431464,0.345946592396285,0.0427922424317949,-0.187879150342722,0.28165564710477,0.550988696198572,0.00134640423488436,-0.0111741689067811,0.903689517124256,2,0.448467644297428,0.149489214765809
"Nigeria",2001,-0.0749469076476088,0.6002640758389,-0.0631204857996829,0.646276321410106,0.265463528626908,0.164056529964946,0.140272795334623,0.490646193353185,-0.205788431696614,0.32407593333212,0.0165150702236978,0.878178522419529,0,0,0
"Nigeria",2002,0.076376986900642,0.593568475723656,0.0875015294454232,0.544158235923732,-0.171435391802557,0.376131875057604,0.0380472104602441,0.847320812908174,0.231256482786102,0.301430333330863,0.0973250296230863,0.380812355020918,0,0,0
"Nigeria",2003,-0.070087264152315,0.795900174528915,-0.151280535432068,0.583486584186401,0.229422556020552,0.538378976465418,-0.299479598433252,0.433161568013978,-0.0441812322236606,0.90564105203784,-0.152695581743357,0.471007240010051,0,0,0
"Nigeria",2004,0.26134741437719,0.244352037410971,0.129995239598664,0.569865398595214,0.825844929265274,0.0105966261384004,0.71651130600764,0.0164467656952649,0.0660697862402686,0.832273151979641,0.341176688851454,0.0436053269507245,3,0.627844308041456,0.313922154020728
"Nigeria",2005,0.0814650896904043,0.594901870167282,-0.0511037139046538,0.745418502808875,-0.0551986926597505,0.807758103871824,0.319671980907566,0.128951897110962,-0.102039236159739,0.643925818383095,-0.287771786887951,0.0157790774973233,1,0.287771786887951,0.0479619644813252
"Nigeria",2006,0.153790162766094,0.357827666628372,0.157589088298964,0.316989335635734,-0.221796161612235,0.369045818124861,-0.167129411696774,0.486301780038367,0.124390712321034,0.604255721774077,-0.276557157434169,0.0249509910906942,1,0.276557157434169,0.0460928595723616
"Nigeria",2007,-0.0149246366166894,0.91964417324867,0.226752546596715,0.123249247963988,0.347732990255306,0.0902228369061945,0.373708119005363,0.110247863965794,0.232189220809733,0.292460664968768,0.373813736321393,0.000911011977196955,1,0.373813736321393,0.0623022893868988
"Nigeria",2008,0.0646569035509076,0.758763607875062,0.0220831159688399,0.917099063306447,0.32683405644475,0.256972561755728,0.00664814637251894,0.981579236515216,0.00943184015552809,0.976127269643588,0.29352593014967,0.071030725097367,0,0,0
"Nigeria",2009,-0.0546287023294691,0.85978734461384,0.262209465506657,0.407709769621808,-1.68037509764751,8.25431661717743e-05,0.466309504798542,0.300711425384372,0.0196602374107476,0.962649300569835,-0.387083404608127,0.110211526294894,1,1.68037509764751,0.280062516274584
